index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,date,tests_1m_pop
190,Saint Kitts and Nevis,15,1,0,0,0,15,0,282,0,247,2020-04-20,
191,Saint Lucia,15,0,0,0,13,2,0,82,0,344,2020-04-20,
192,Curaçao,14,0,1,0,11,2,0,85,6,286,2020-04-20,
193,Grenada,14,0,0,0,6,8,4,124,0,92,2020-04-20,
194,CAR,12,0,0,0,4,8,0,2,0,0,2020-04-20,
195,St. Vincent Grenadines,12,0,0,0,1,11,0,108,0,87,2020-04-20,
196,Turks and Caicos,11,0,1,0,0,10,0,284,26,83,2020-04-20,
197,Falkland Islands,11,0,0,0,3,8,0,3161,0,319,2020-04-20,
198,Greenland,11,0,0,0,11,0,0,194,0,1043,2020-04-20,
199,Montserrat,11,0,0,0,2,9,1,2204,0,36,2020-04-20,
200,Seychelles,11,0,0,0,5,6,0,112,0,0,2020-04-20,
201,Nicaragua,10,0,2,0,6,2,0,2,3,0,2020-04-20,
202,Gambia,10,0,1,0,2,7,0,4,4,316,2020-04-20,
203,Suriname,10,0,1,0,6,3,0,17,2,0,2020-04-20,
204,MS Zaandam,9,0,2,0,0,7,0,0,0,0,2020-04-20,
205,Vatican City,9,1,0,0,2,7,0,11236,0,0,2020-04-20,
206,Mauritania,7,0,1,0,6,0,0,2,2,913,2020-04-20,
207,Papua New Guinea,7,0,0,0,0,7,0,8,0,167,2020-04-20,
208,St. Barth,6,0,0,0,5,1,0,607,0,0,2020-04-20,
209,Western Sahara,6,0,0,0,0,6,0,10,0,0,2020-04-20,
210,British Virgin Islands,5,1,1,0,3,1,0,165,33,0,2020-04-20,
211,Burundi,5,0,1,0,4,0,0,4,8,80,2020-04-20,
212,Bhutan,5,0,0,0,2,3,0,6,0,8570,2020-04-20,
213,Caribbean Netherlands,5,0,0,0,0,5,0,191,0,110,2020-04-20,
214,Sao Tome and Principe,4,0,0,0,0,4,0,18,0,19,2020-04-20,
215,South Sudan,4,0,0,0,0,4,0,4,0,0,2020-04-20,
216,Anguilla,3,0,0,0,1,2,0,200,0,0,2020-04-20,
217,Saint Pierre Miquelon,1,0,0,0,0,1,0,173,0,0,2020-04-20,
218,Yemen,1,0,0,0,0,1,0,3,0,0,2020-04-20,
219,China,82747,12,4632,0,77084,1031,81,57,3,0,2020-04-20,
