index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
54,Hong Kong,683,41,4,0,118,561,5,91,5,2020-03-30,,
55,Egypt,656,47,41,1,150,465,0,6,4,2020-03-30,,
56,Iraq,630,83,46,4,152,432,0,16,1,2020-03-30,,
57,UAE,611,41,5,2,61,545,2,62,5,2020-03-30,,
58,New Zealand,589,75,1,0,63,525,2,122,2,2020-03-30,,
59,Algeria,584,73,35,4,37,512,0,13,8,2020-03-30,,
60,Morocco,556,77,33,7,15,508,1,15,9,2020-03-30,,
61,Ukraine,548,73,13,3,8,527,0,13,3,2020-03-30,,
62,Bahrain,515,16,4,0,295,216,2,303,2,2020-03-30,,
63,Lithuania,491,31,7,0,7,477,5,180,3,2020-03-30,,
64,Armenia,482,58,3,0,30,449,15,163,1,2020-03-30,,
65,Hungary,447,39,15,2,34,398,6,46,2,2020-03-30,,
66,Lebanon,446,8,11,1,35,400,3,65,2,2020-03-30,,
67,Latvia,376,29,0,0,1,375,3,199,0,2020-03-30,,
68,Andorra,370,36,8,2,10,352,10,4789,104,2020-03-30,,
69,Bosnia and Herzegovina,368,45,10,4,17,341,1,112,3,2020-03-30,,
70,Tunisia,362,50,10,2,3,349,10,31,8,2020-03-30,,
71,Bulgaria,359,13,8,0,17,334,13,52,1,2020-03-30,,
72,Slovakia,336,22,0,0,7,329,1,62,0,2020-03-30,,
73,Costa Rica,330,16,2,0,4,324,7,65,4,2020-03-30,,
74,Uruguay,320,16,1,0,25,294,9,92,3,2020-03-30,,
75,Taiwan,306,8,5,2,39,262,0,13,2,2020-03-30,,
76,Kazakhstan,302,18,1,0,21,280,0,16,5,2020-03-30,,
77,Moldova,298,35,2,0,15,281,44,74,5,2020-03-30,,
78,North Macedonia,285,26,7,1,12,266,1,137,3,2020-03-30,,
79,Azerbaijan,273,64,4,0,26,243,23,27,4,2020-03-30,,
80,Jordan,268,9,5,2,26,237,3,26,5,2020-03-30,,
81,Kuwait,266,11,0,0,72,194,13,62,0,2020-03-30,,
82,Burkina Faso,246,24,12,0,31,203,0,12,6,2020-03-30,,
83,San Marino,230,6,25,3,13,192,16,6778,737,2020-03-30,,
84,Cyprus,230,16,7,1,22,201,3,190,6,2020-03-30,,
85,Réunion,224,41,0,0,1,223,0,250,0,2020-03-30,,
86,Albania,223,11,11,1,44,168,7,77,4,2020-03-30,,
87,Vietnam,204,10,0,0,55,149,3,2,0,2020-03-30,,
88,Oman,179,12,0,0,29,150,3,35,0,2020-03-30,,
89,Afghanistan,170,50,4,0,2,164,0,4,1,2020-03-30,,
90,Cuba,170,31,4,1,4,162,2,15,4,2020-03-30,,
91,Ivory Coast,168,3,1,0,6,161,0,6,4,2020-03-30,,
92,Faeroe Islands,168,9,0,0,70,98,1,3438,0,2020-03-30,,
93,Senegal,162,20,0,0,27,135,0,10,0,2020-03-30,,
94,Malta,156,5,0,0,2,154,4,353,0,2020-03-30,,
95,Ghana,152,0,5,0,2,145,1,5,2,2020-03-30,,
96,Belarus,152,58,0,0,32,120,2,16,0,2020-03-30,,
97,Uzbekistan,149,5,2,0,7,140,8,4,6,2020-03-30,,
98,Channel Islands,141,33,2,0,0,139,0,811,12,2020-03-30,,
99,Honduras,139,29,7,4,3,129,4,14,7,2020-03-30,,
100,Cameroon,139,0,6,0,5,128,0,5,2,2020-03-30,,
101,Venezuela,135,16,3,0,39,93,6,5,1,2020-03-30,,
102,Nigeria,131,20,2,1,8,121,0,6,1,2020-03-30,,
103,Mauritius,128,21,3,0,0,125,1,101,2,2020-03-30,,
104,Brunei,127,1,1,0,38,88,3,290,2,2020-03-30,,
105,Sri Lanka,122,5,2,1,15,105,5,6,9,2020-03-30,,
106,Palestine,117,8,1,0,18,98,0,23,2,2020-03-30,,
107,Cambodia,107,4,0,0,21,86,1,6,0,2020-03-30,,
108,Guadeloupe,106,0,4,0,17,85,10,265,10,2020-03-30,,
109,Georgia,103,12,0,0,20,83,6,26,0,2020-03-30,,
110,Bolivia,97,16,4,3,0,93,3,8,3,2020-03-30,,
111,Kyrgyzstan,94,10,0,0,3,91,0,14,0,2020-03-30,,
112,Martinique,93,0,1,0,0,92,12,248,3,2020-03-30,,
113,Montenegro,91,6,1,0,0,90,1,145,2,2020-03-30,,
114,Trinidad and Tobago,83,5,3,0,1,79,0,59,2,2020-03-30,,
115,Mayotte,82,19,0,0,10,72,3,301,0,2020-03-30,,
116,DRC,81,0,8,0,2,71,0,9,9,2020-03-30,,
117,Rwanda,70,0,0,0,0,70,0,5,0,2020-03-30,,
118,Gibraltar,69,4,0,0,34,35,0,2048,0,2020-03-30,,
119,Paraguay,64,5,3,0,1,60,3,9,4,2020-03-30,,
120,Liechtenstein,62,6,0,0,0,62,0,1626,0,2020-03-30,,
121,Kenya,50,8,1,0,1,48,2,9,2,2020-03-30,,
122,Aruba,50,0,0,0,1,49,0,468,0,2020-03-30,,
123,Bangladesh,49,1,5,0,19,25,1,3,3,2020-03-30,,
124,Monaco,49,3,1,0,1,47,0,1249,25,2020-03-30,,
125,Isle of Man,49,7,0,0,0,49,0,576,0,2020-03-30,,
126,French Guiana,43,0,0,0,6,37,0,144,0,2020-03-30,,
127,Madagascar,43,4,0,0,0,43,0,2,0,2020-03-30,,
128,Macao,38,1,0,0,10,28,0,59,0,2020-03-30,,
129,Guatemala,36,2,1,0,10,25,1,2,6,2020-03-30,,
130,Jamaica,36,4,1,0,2,33,0,12,3,2020-03-30,,
131,French Polynesia,36,6,0,0,0,36,2,128,0,2020-03-30,,
132,Zambia,35,6,0,0,0,35,0,2,0,2020-03-30,,
133,Barbados,33,0,0,0,0,33,0,115,0,2020-03-30,,
134,Uganda,33,0,0,0,0,33,0,7,0,2020-03-30,,
135,Togo,30,5,1,0,1,28,0,4,1,2020-03-30,,
136,El Salvador,30,6,0,0,0,30,5,5,0,2020-03-30,,
137,Niger,27,9,3,2,0,24,0,1,1,2020-03-30,,
138,Bermuda,27,5,0,0,2,25,0,434,0,2020-03-30,,
139,Mali,25,7,2,1,0,23,0,1,10,2020-03-30,,
140,Ethiopia,23,2,0,0,4,19,1,2,0,2020-03-30,,
141,Guinea,22,6,0,0,0,22,0,2,0,2020-03-30,,
142,Congo,19,0,0,0,0,19,0,3,0,2020-03-30,,
143,Tanzania,19,5,0,0,1,18,0,3,0,2020-03-30,,
144,Djibouti,18,0,0,0,0,18,0,18,0,2020-03-30,,
145,Maldives,17,0,0,0,13,4,0,31,0,2020-03-30,,
146,Saint Martin,15,4,1,1,2,12,0,388,26,2020-03-30,,
147,Eritrea,15,3,0,0,0,15,0,4,0,2020-03-30,,
148,Haiti,15,0,0,0,1,14,0,1,0,2020-03-30,,
149,New Caledonia,15,0,0,0,0,15,0,53,0,2020-03-30,,
150,Bahamas,14,0,0,0,1,13,0,36,0,2020-03-30,,
151,Myanmar,14,4,0,0,0,14,0,3,0,2020-03-30,,
152,Cayman Islands,12,0,1,0,0,11,0,183,15,2020-03-30,,
153,Dominica,12,1,0,0,0,12,0,167,0,2020-03-30,,
154,Equatorial Guinea,12,0,0,0,0,12,0,9,0,2020-03-30,,
155,Mongolia,12,0,0,0,2,10,0,4,0,2020-03-30,,
156,Curaçao,11,3,1,0,2,8,0,67,6,2020-03-30,,
157,Namibia,11,0,0,0,2,9,0,4,0,2020-03-30,,
158,Syria,10,1,2,1,0,8,0,6,1,2020-03-30,,
159,Greenland,10,0,0,0,2,8,0,176,0,2020-03-30,,
160,Grenada,9,0,0,0,0,9,0,80,0,2020-03-30,,
161,Saint Lucia,9,0,0,0,1,8,0,49,0,2020-03-30,,
162,Eswatini,9,0,0,0,0,9,0,8,0,2020-03-30,,
163,Guyana,8,0,1,0,0,7,0,10,1,2020-03-30,,
164,Guinea-Bissau,8,6,0,0,0,8,0,4,0,2020-03-30,,
165,Laos,8,0,0,0,0,8,0,1,0,2020-03-30,,
166,Libya,8,0,0,0,0,8,0,1,0,2020-03-30,,
167,Mozambique,8,0,0,0,0,8,0,3,0,2020-03-30,,
168,Seychelles,8,0,0,0,0,8,0,81,0,2020-03-30,,
169,Suriname,8,0,0,0,0,8,0,14,0,2020-03-30,,
170,Angola,7,0,2,0,1,4,0,2,6,2020-03-30,,
171,Gabon,7,0,1,0,0,6,0,3,4,2020-03-30,,
172,Zimbabwe,7,0,1,0,0,6,0,5,7,2020-03-30,,
173,Antigua and Barbuda,7,0,0,0,0,7,0,71,0,2020-03-30,,
174,Saint Kitts and Nevis,7,5,0,0,0,7,0,132,0,2020-03-30,,
175,Sudan,6,0,2,1,0,4,0,1,5,2020-03-30,,
176,Cabo Verde,6,0,1,0,0,5,0,11,2,2020-03-30,,
177,Mauritania,6,1,1,1,2,3,0,1,2,2020-03-30,,
178,Benin,6,0,0,0,0,6,0,5,0,2020-03-30,,
179,Vatican City,6,0,0,0,0,6,0,7491,0,2020-03-30,,
180,St. Barth,6,1,0,0,1,5,0,607,0,2020-03-30,,
181,Sint Maarten,6,0,0,0,0,6,0,140,0,2020-03-30,,
182,Nepal,5,0,0,0,1,4,0,2,0,2020-03-30,,
183,Chad,5,2,0,0,0,5,0,3,0,2020-03-30,,
184,Fiji,5,0,0,0,0,5,0,6,0,2020-03-30,,
185,Montserrat,5,0,0,0,0,5,0,1002,0,2020-03-30,,
186,Turks and Caicos,5,1,0,0,0,5,0,129,0,2020-03-30,,
187,Gambia,4,0,1,0,0,3,0,2,4,2020-03-30,,
188,Nicaragua,4,0,1,0,0,3,0,6,2,2020-03-30,,
189,Bhutan,4,0,0,0,0,4,0,5,0,2020-03-30,,
190,Belize,3,1,0,0,0,3,0,8,0,2020-03-30,,
191,Botswana,3,3,0,0,0,3,0,1,0,2020-03-30,,
192,CAR,3,0,0,0,0,3,0,6,0,2020-03-30,,
193,Liberia,3,0,0,0,0,3,0,6,0,2020-03-30,,
194,Somalia,3,0,0,0,0,3,0,2,0,2020-03-30,,
195,MS Zaandam,2,0,0,0,0,2,0,0,0,2020-03-30,,
196,Anguilla,2,0,0,0,0,2,0,133,0,2020-03-30,,
197,British Virgin Islands,2,0,0,0,0,2,0,66,0,2020-03-30,,
198,Papua New Guinea,1,0,0,0,0,1,0,1,0,2020-03-30,,
199,St. Vincent Grenadines,1,0,0,0,1,0,0,9,0,2020-03-30,,
200,Timor-Leste,1,0,0,0,0,1,0,8,0,2020-03-30,,
201,China,81470,31,3304,4,75700,2466,633,57,2,2020-03-30,,
