index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,date,tests_1m_pop
24,Peru,15628,1208,400,52,6811,8417,167,474,12,143745,2020-04-19,
25,Ireland,15251,493,610,39,77,14564,294,3089,124,90646,2020-04-19,
26,Austria,14749,78,452,9,10501,3796,204,1638,50,179243,2020-04-19,
27,Sweden,14385,563,1540,29,550,12295,450,1424,152,74600,2020-04-19,
28,Israel,13491,226,172,8,3754,9565,146,1559,20,187250,2020-04-19,
29,Japan,10797,501,236,14,1159,9402,217,85,2,112816,2020-04-19,
30,S. Korea,10661,8,234,2,8042,2385,55,208,5,559109,2020-04-19,
31,Chile,10088,358,133,7,4338,5617,360,528,7,113649,2020-04-19,
32,Ecuador,9468,446,474,18,1061,7933,124,537,27,31809,2020-04-19,
33,Saudi Arabia,9362,1088,97,5,1398,7867,97,269,3,180000,2020-04-19,
34,Poland,9287,545,360,13,1040,7887,160,245,10,204246,2020-04-19,
35,Romania,8746,328,451,30,1892,6403,256,455,23,93611,2020-04-19,
36,Pakistan,8348,710,168,25,1868,6312,46,38,8,98522,2020-04-19,
37,Mexico,7497,622,650,104,2627,4220,207,58,5,49167,2020-04-19,
38,Denmark,7384,142,355,9,4141,2888,84,1275,61,94277,2020-04-19,
39,Norway,7078,42,165,1,32,6881,58,1306,30,142166,2020-04-19,
40,UAE,6781,479,41,4,1286,5454,1,686,4,767000,2020-04-19,
41,Czechia,6746,140,186,5,1298,5262,84,630,17,168096,2020-04-19,
42,Australia,6612,26,71,1,4230,2311,48,259,3,420996,2020-04-19,
43,Singapore,6588,596,11,0,768,5809,22,1126,2,94796,2020-04-19,
44,Indonesia,6575,327,582,47,686,5307,0,24,2,42219,2020-04-19,
45,Serbia,6318,324,122,5,753,5443,120,723,14,38701,2020-04-19,
46,Philippines,6259,172,409,12,572,5278,1,57,4,59928,2020-04-19,
47,Ukraine,5449,343,141,8,347,4961,45,125,3,57111,2020-04-19,
48,Qatar,5448,440,8,0,518,4922,37,1891,3,62538,2020-04-19,
49,Malaysia,5389,84,89,1,3197,2103,46,167,3,103892,2020-04-19,
50,Belarus,4779,0,47,2,494,4238,65,506,5,98231,2020-04-19,
51,Dominican Republic,4680,345,226,9,363,4091,114,431,21,15583,2020-04-19,
52,Panama,4273,63,120,4,140,4013,96,990,28,19091,2020-04-19,
53,Colombia,3792,171,179,13,711,2902,98,75,4,62746,2020-04-19,
54,Finland,3783,102,94,4,1700,1989,68,683,17,57300,2020-04-19,
55,Luxembourg,3550,13,73,1,627,2850,31,5671,117,33666,2020-04-19,
56,South Africa,3158,124,54,2,903,2201,36,53,9,114711,2020-04-19,
57,Egypt,3144,112,239,15,732,2173,0,31,2,55000,2020-04-19,
58,Morocco,2855,170,141,4,327,2387,1,77,4,15123,2020-04-19,
59,Argentina,2839,0,132,0,709,1998,123,63,3,32712,2020-04-19,
60,Thailand,2765,32,47,0,1928,790,61,40,7,100498,2020-04-19,
61,Algeria,2629,95,375,8,1047,1207,40,60,9,6500,2020-04-19,
62,Moldova,2472,121,67,10,457,1948,80,613,17,10488,2020-04-19,
63,Bangladesh,2456,312,91,7,75,2290,1,15,6,23941,2020-04-19,
64,Greece,2235,0,113,3,269,1853,67,214,11,53290,2020-04-19,
65,Hungary,1916,82,189,17,250,1477,61,198,20,46353,2020-04-19,
66,Kuwait,1915,164,7,1,305,1603,38,448,2,0,2020-04-19,
67,Bahrain,1881,108,7,0,759,1115,2,1105,4,85126,2020-04-19,
68,Croatia,1871,39,47,8,709,1115,23,456,11,24186,2020-04-19,
69,Iceland,1771,11,9,0,1291,471,3,5190,26,41091,2020-04-19,
70,Kazakhstan,1676,61,17,0,400,1259,22,89,9,100878,2020-04-19,
71,Uzbekistan,1565,75,5,0,225,1335,8,47,1,136000,2020-04-19,
72,Iraq,1539,26,82,0,1009,448,0,38,2,56147,2020-04-19,
73,Estonia,1528,16,40,2,164,1324,10,1152,30,40333,2020-04-19,
74,New Zealand,1431,9,12,1,912,507,18,297,2,83224,2020-04-19,
75,Azerbaijan,1398,25,19,1,712,667,21,138,2,95747,2020-04-19,
76,Slovenia,1330,13,74,4,192,1064,26,640,36,41265,2020-04-19,
77,Lithuania,1298,59,35,2,242,1021,14,477,13,64035,2020-04-19,
78,Armenia,1291,43,20,0,545,726,30,436,7,12680,2020-04-19,
79,Bosnia and Herzegovina,1285,17,48,1,347,890,4,392,15,17818,2020-04-19,
80,Oman,1266,86,7,1,233,1026,3,248,1,0,2020-04-19,
81,North Macedonia,1207,37,51,2,179,977,15,579,24,11870,2020-04-19,
82,Slovakia,1161,72,12,1,229,920,10,213,2,44278,2020-04-19,
83,Ghana,1042,208,9,0,99,934,4,34,3,68591,2020-04-19,
84,Cuba,1035,49,34,2,255,746,16,91,3,26982,2020-04-19,
85,Hong Kong,1026,2,4,0,602,420,8,137,5,131786,2020-04-19,
86,Cameroon,1017,0,42,0,305,670,33,38,2,0,2020-04-19,
87,Afghanistan,996,63,33,3,131,832,7,26,8,6422,2020-04-19,
88,Bulgaria,894,16,42,1,161,691,36,129,6,26417,2020-04-19,
89,Tunisia,879,13,38,1,43,798,33,74,3,16098,2020-04-19,
90,Ivory Coast,847,46,9,1,260,578,0,32,3,0,2020-04-19,
91,Djibouti,846,114,2,0,102,742,0,856,2,8144,2020-04-19,
92,Cyprus,767,6,12,0,81,674,15,635,10,34087,2020-04-19,
93,Latvia,727,15,5,0,88,634,5,385,3,35881,2020-04-19,
94,Andorra,713,9,36,1,235,442,17,9228,466,1673,2020-04-19,
95,Diamond Princess,712,0,13,0,644,55,7,0,0,0,2020-04-19,
96,Lebanon,673,1,21,0,102,550,27,99,3,20929,2020-04-19,
97,Costa Rica,660,5,5,1,112,543,10,130,10,10417,2020-04-19,
98,Niger,648,9,20,1,117,511,0,27,8,4715,2020-04-19,
99,Nigeria,627,85,21,2,170,436,2,3,1,7153,2020-04-19,
100,Guinea,579,61,5,2,87,487,0,44,4,0,2020-04-19,
101,Burkina Faso,576,11,36,0,338,202,0,28,2,0,2020-04-19,
102,Albania,562,14,26,0,314,222,5,195,9,5542,2020-04-19,
103,Kyrgyzstan,554,48,5,0,133,416,5,85,8,26147,2020-04-19,
104,Bolivia,520,27,32,1,31,457,3,45,3,3569,2020-04-19,
105,Uruguay,517,0,10,1,298,209,14,149,3,13207,2020-04-19,
106,Channel Islands,488,4,21,0,73,394,0,2807,121,3320,2020-04-19,
107,Honduras,472,15,46,0,15,411,10,48,5,2535,2020-04-19,
108,San Marino,461,6,39,0,60,362,4,13586,1149,1711,2020-04-19,
109,Palestine,437,19,3,1,71,363,0,86,6,17329,2020-04-19,
110,Malta,427,1,3,0,118,306,2,967,7,23253,2020-04-19,
111,Taiwan,420,22,6,0,189,225,0,18,3,53005,2020-04-19,
112,Jordan,417,4,7,0,276,134,5,41,7,29000,2020-04-19,
113,Réunion,408,1,0,0,237,171,4,456,0,0,2020-04-19,
114,Georgia,394,6,4,0,93,297,6,99,1,5027,2020-04-19,
115,Senegal,367,17,3,0,220,144,1,22,2,0,2020-04-19,
116,Mauritius,328,3,9,0,208,111,3,258,7,9755,2020-04-19,
117,DRC,327,20,25,0,26,276,0,4,3,0,2020-04-19,
118,Montenegro,308,1,5,0,55,248,7,490,8,3874,2020-04-19,
119,Isle of Man,298,1,6,0,193,99,10,3505,71,2465,2020-04-19,
120,Sri Lanka,271,17,7,0,96,168,1,13,3,6463,2020-04-19,
121,Mayotte,271,17,4,0,117,150,5,993,15,1850,2020-04-19,
122,Kenya,270,8,14,2,67,189,2,5,3,13239,2020-04-19,
123,Vietnam,268,0,0,0,202,66,8,3,0,206253,2020-04-19,
124,Guatemala,257,22,7,0,21,229,3,14,4,7200,2020-04-19,
125,Venezuela,256,29,9,0,117,130,4,9,3,299714,2020-04-19,
126,Mali,224,8,14,1,42,168,0,11,7,0,2020-04-19,
127,Paraguay,206,4,8,0,41,157,1,29,1,4950,2020-04-19,
128,El Salvador,201,11,7,0,44,150,1,31,1,11160,2020-04-19,
129,Faeroe Islands,185,1,0,0,176,9,0,3786,0,6021,2020-04-19,
130,Jamaica,173,10,5,0,27,141,0,58,2,1605,2020-04-19,
131,Tanzania,170,23,7,2,11,152,4,3,1,0,2020-04-19,
132,Somalia,164,29,7,0,3,154,2,10,4,0,2020-04-19,
133,Martinique,163,0,12,0,73,78,11,434,32,0,2020-04-19,
134,Guadeloupe,148,0,8,0,73,67,13,370,20,0,2020-04-19,
135,Rwanda,147,3,0,0,76,71,0,11,0,6959,2020-04-19,
136,Congo,143,0,6,0,11,126,0,26,1,0,2020-04-19,
137,Brunei,138,1,1,0,115,22,2,315,2,11472,2020-04-19,
138,Gibraltar,132,0,0,0,120,12,1,3918,0,1912,2020-04-19,
139,Cambodia,122,0,0,0,105,17,1,7,0,5768,2020-04-19,
140,Madagascar,121,1,0,0,39,82,1,4,0,2357,2020-04-19,
141,Trinidad and Tobago,114,0,8,0,21,85,0,81,6,1335,2020-04-19,
142,Myanmar,111,13,5,0,7,99,0,2,9,4605,2020-04-19,
143,Gabon,109,1,1,0,7,101,0,49,4,572,2020-04-19,
144,Ethiopia,108,3,3,0,16,89,1,9,3,7557,2020-04-19,
145,Aruba,97,1,2,0,49,46,4,909,19,1442,2020-04-19,
146,French Guiana,96,0,0,0,64,32,2,321,0,0,2020-04-19,
147,Monaco,94,0,3,0,22,69,3,2395,76,0,2020-04-19,
148,Liberia,91,15,8,1,7,76,0,18,2,0,2020-04-19,
149,Bermuda,86,3,5,0,35,46,10,1381,80,638,2020-04-19,
150,Togo,84,0,5,0,52,27,0,10,6,4295,2020-04-19,
151,Liechtenstein,81,0,1,0,55,25,0,2124,26,900,2020-04-19,
152,Equatorial Guinea,79,0,0,0,4,75,0,56,0,854,2020-04-19,
153,Barbados,75,0,5,0,17,53,4,261,17,1000,2020-04-19,
154,Sint Maarten,67,3,10,1,12,45,6,1563,233,163,2020-04-19,
155,Sudan,66,0,10,0,6,50,0,2,2,0,2020-04-19,
156,Guyana,65,2,7,1,9,49,4,83,9,322,2020-04-19,
157,Zambia,61,4,3,1,33,25,1,3,2,2586,2020-04-19,
158,Cabo Verde,61,3,1,0,1,59,0,110,2,0,2020-04-19,
159,Cayman Islands,61,0,1,0,7,53,3,928,15,702,2020-04-19,
160,Bahamas,55,0,9,0,10,36,1,140,23,0,2020-04-19,
161,French Polynesia,55,0,0,0,2,53,1,196,0,1302,2020-04-19,
162,Uganda,55,0,0,0,28,27,0,1,0,11101,2020-04-19,
163,Maldives,52,17,0,0,16,36,0,96,0,3714,2020-04-19,
164,Libya,51,2,1,0,11,39,0,7,1,725,2020-04-19,
165,Guinea-Bissau,50,4,0,0,3,47,0,25,0,1500,2020-04-19,
166,Haiti,47,3,3,0,0,44,0,4,3,498,2020-04-19,
167,Macao,45,0,0,0,17,28,1,69,0,0,2020-04-19,
168,Syria,39,1,3,1,5,31,0,2,2,0,2020-04-19,
169,Eritrea,39,0,0,0,3,36,0,11,0,0,2020-04-19,
170,Mozambique,39,4,0,0,8,31,0,1,0,1037,2020-04-19,
171,Saint Martin,37,0,2,0,19,16,5,957,52,0,2020-04-19,
172,Benin,35,0,1,0,18,16,0,3,8,0,2020-04-19,
173,Sierra Leone,35,5,0,0,6,29,0,4,0,0,2020-04-19,
174,Chad,33,0,0,0,8,25,0,2,0,0,2020-04-19,
175,Mongolia,32,1,0,0,7,25,0,10,0,1554,2020-04-19,
176,Nepal,31,0,0,0,4,27,0,1,0,29567,2020-04-19,
177,Zimbabwe,25,0,3,0,2,20,0,2,2,2626,2020-04-19,
178,Angola,24,0,2,0,6,16,0,7,6,0,2020-04-19,
179,Antigua and Barbuda,23,0,3,0,3,17,1,235,31,73,2020-04-19,
180,Eswatini,22,0,1,0,8,13,0,19,9,714,2020-04-19,
181,Botswana,20,5,1,0,0,19,0,9,4,4432,2020-04-19,
182,Laos,19,0,0,0,2,17,0,3,0,1333,2020-04-19,
183,Timor-Leste,19,1,0,0,1,18,0,14,0,0,2020-04-19,
184,Belize,18,0,2,0,2,14,1,45,5,651,2020-04-19,
185,New Caledonia,18,0,0,0,15,3,1,63,0,3399,2020-04-19,
186,Malawi,17,0,2,0,3,12,1,9,1,429,2020-04-19,
187,Fiji,17,0,0,0,0,17,0,19,0,0,2020-04-19,
188,Dominica,16,0,0,0,8,8,0,222,0,345,2020-04-19,
189,Namibia,16,0,0,0,6,10,0,6,0,524,2020-04-19,
190,Saint Lucia,15,0,0,0,11,4,0,82,0,344,2020-04-19,
191,Curaçao,14,0,1,0,11,2,0,85,6,286,2020-04-19,
192,Grenada,14,0,0,0,6,8,4,124,0,92,2020-04-19,
193,Saint Kitts and Nevis,14,0,0,0,0,14,0,263,0,234,2020-04-19,
194,CAR,12,0,0,0,4,8,0,2,0,0,2020-04-19,
195,St. Vincent Grenadines,12,0,0,0,1,11,0,108,0,87,2020-04-19,
196,Turks and Caicos,11,0,1,0,0,10,0,284,26,83,2020-04-19,
197,Falkland Islands,11,0,0,0,3,8,0,3161,0,319,2020-04-19,
198,Greenland,11,0,0,0,11,0,0,194,0,1043,2020-04-19,
199,Montserrat,11,0,0,0,2,9,1,2204,0,36,2020-04-19,
200,Seychelles,11,0,0,0,5,6,0,112,0,0,2020-04-19,
201,Nicaragua,10,1,2,0,6,2,0,2,3,0,2020-04-19,
202,Gambia,10,1,1,0,2,7,0,4,4,316,2020-04-19,
203,Suriname,10,0,1,0,6,3,0,17,2,0,2020-04-19,
204,MS Zaandam,9,0,2,0,0,7,0,0,0,0,2020-04-19,
205,Vatican City,8,0,0,0,2,6,0,9988,0,0,2020-04-19,
206,Mauritania,7,0,1,0,6,0,0,2,2,913,2020-04-19,
207,Papua New Guinea,7,0,0,0,0,7,0,8,0,167,2020-04-19,
208,St. Barth,6,0,0,0,5,1,0,607,0,0,2020-04-19,
209,Western Sahara,6,0,0,0,0,6,0,10,0,0,2020-04-19,
210,Burundi,5,0,1,0,0,4,0,4,8,80,2020-04-19,
211,Bhutan,5,0,0,0,2,3,0,6,0,8107,2020-04-19,
212,Caribbean Netherlands,5,2,0,0,0,5,0,191,0,110,2020-04-19,
213,British Virgin Islands,4,0,1,1,2,1,0,132,33,0,2020-04-19,
214,Sao Tome and Principe,4,0,0,0,0,4,0,18,0,19,2020-04-19,
215,South Sudan,4,0,0,0,0,4,0,4,0,0,2020-04-19,
216,Anguilla,3,0,0,0,1,2,0,200,0,0,2020-04-19,
217,Saint Pierre Miquelon,1,0,0,0,0,1,0,173,0,0,2020-04-19,
218,Yemen,1,0,0,0,0,1,0,3,0,0,2020-04-19,
219,China,82735,16,4632,0,77062,1041,85,57,3,0,2020-04-19,
