index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
31,Japan,2617,0,63,0,514,2040,60,21,5,2020-04-03,,
32,Luxembourg,2612,125,31,1,500,2081,33,4173,50,2020-04-03,,
33,India,2567,24,72,0,192,2303,0,2,5,2020-04-03,,
34,Saudi Arabia,2039,154,25,4,351,1663,41,59,7,2020-04-03,,
35,Indonesia,1986,196,181,11,134,1671,0,7,7,2020-04-03,,
36,Thailand,1978,103,19,4,612,1347,23,28,3,2020-04-03,,
37,Panama,1673,198,41,4,10,1622,50,388,10,2020-04-03,,
38,Finland,1615,97,20,1,300,1295,72,291,4,2020-04-03,,
39,Greece,1613,69,63,10,78,1472,92,155,6,2020-04-03,,
40,Peru,1595,181,61,6,537,997,51,48,2,2020-04-03,,
41,Mexico,1510,132,50,13,633,827,1,12,4,2020-04-03,,
42,South Africa,1505,43,9,4,95,1401,7,25,2,2020-04-03,,
43,Dominican Republic,1488,108,68,8,16,1404,147,137,6,2020-04-03,,
44,Serbia,1476,305,39,8,54,1383,81,169,4,2020-04-03,,
45,Iceland,1364,45,4,0,309,1051,12,3997,12,2020-04-03,,
46,Argentina,1353,88,42,6,266,1045,0,30,9,2020-04-03,,
47,Colombia,1267,106,25,6,55,1187,50,25,5,2020-04-03,,
48,UAE,1264,240,9,1,108,1147,2,128,9,2020-04-03,,
49,Algeria,1171,185,105,19,62,1004,0,27,2,2020-04-03,,
50,Singapore,1114,65,5,1,282,827,24,190,9,2020-04-03,,
51,Croatia,1079,68,8,1,92,979,39,263,2,2020-04-03,,
52,Qatar,1075,126,3,0,93,979,37,373,1,2020-04-03,,
53,Ukraine,1072,175,27,5,22,1023,16,25,6,2020-04-03,,
54,Egypt,985,120,66,8,216,703,0,10,6,2020-04-03,,
55,Estonia,961,103,12,1,48,901,16,724,9,2020-04-03,,
56,Slovenia,934,37,20,3,70,844,31,449,10,2020-04-03,,
57,New Zealand,868,71,1,0,103,764,2,180,2,2020-04-03,,
58,Hong Kong,845,43,4,0,173,668,8,113,5,2020-04-03,,
59,Iraq,820,48,54,0,226,540,0,20,1,2020-04-03,,
60,Morocco,791,83,48,4,57,686,1,21,1,2020-04-03,,
61,Armenia,736,73,7,0,43,686,30,248,2,2020-04-03,,
62,Diamond Princess,712,0,11,0,619,82,10,0,0,2020-04-03,,
63,Lithuania,696,47,9,0,7,680,11,256,3,2020-04-03,,
64,Bahrain,672,29,4,0,382,286,3,395,2,2020-04-03,,
65,Hungary,623,38,26,5,43,554,17,64,3,2020-04-03,,
66,Moldova,591,86,8,2,26,557,65,147,2,2020-04-03,,
67,Bosnia and Herzegovina,579,46,17,1,27,535,4,176,5,2020-04-03,,
68,Cameroon,509,203,8,1,17,484,0,19,3,2020-04-03,,
69,Lebanon,508,14,17,1,50,441,26,74,2,2020-04-03,,
70,Tunisia,495,40,18,4,5,472,30,42,2,2020-04-03,,
71,Latvia,493,35,1,1,1,491,3,261,5,2020-04-03,,
72,Bulgaria,485,28,14,4,30,441,21,70,2,2020-04-03,,
73,Kazakhstan,464,29,6,3,29,429,6,25,3,2020-04-03,,
74,Slovakia,450,24,1,0,10,439,3,82,2,2020-04-03,,
75,Azerbaijan,443,43,5,0,32,406,7,44,5,2020-04-03,,
76,Andorra,439,11,16,1,16,407,12,5682,207,2020-04-03,,
77,North Macedonia,430,46,12,1,20,398,8,206,6,2020-04-03,,
78,Kuwait,417,75,0,0,82,335,16,98,0,2020-04-03,,
79,Costa Rica,416,20,2,0,11,403,13,82,4,2020-04-03,,
80,Cyprus,396,40,11,1,28,357,11,328,9,2020-04-03,,
81,Uruguay,386,36,4,0,86,296,13,111,1,2020-04-03,,
82,Belarus,351,47,4,0,53,294,11,37,4,2020-04-03,,
83,Taiwan,348,9,5,0,50,293,0,15,2,2020-04-03,,
84,Réunion,321,13,0,0,40,281,3,359,0,2020-04-03,,
85,Jordan,310,11,5,0,58,247,5,30,5,2020-04-03,,
86,Albania,304,27,17,1,89,198,7,106,6,2020-04-03,,
87,Burkina Faso,302,14,16,0,50,236,0,14,8,2020-04-03,,
88,Afghanistan,281,8,6,0,10,265,0,7,2,2020-04-03,,
89,Cuba,269,36,6,0,15,248,8,24,5,2020-04-03,,
90,Oman,252,21,1,0,57,194,3,49,2,2020-04-03,,
91,San Marino,251,6,32,2,26,193,13,7397,943,2020-04-03,,
92,Vietnam,239,6,0,0,85,154,3,2,0,2020-04-03,,
93,Channel Islands,232,39,4,1,13,215,0,1334,23,2020-04-03,,
94,Uzbekistan,227,22,2,0,25,200,8,7,6,2020-04-03,,
95,Honduras,222,3,15,1,3,204,10,22,2,2020-04-03,,
96,Ivory Coast,218,24,1,0,19,198,0,8,4,2020-04-03,,
97,Nigeria,210,26,4,2,25,181,0,1,2,2020-04-03,,
98,Senegal,207,12,1,0,66,140,1,12,6,2020-04-03,,
99,Ghana,205,1,5,0,31,169,2,7,2,2020-04-03,,
100,Malta,202,6,0,0,2,200,2,457,0,2020-04-03,,
101,Palestine,194,33,1,0,21,172,0,38,2,2020-04-03,,
102,Mauritius,186,17,7,0,0,179,1,146,6,2020-04-03,,
103,Faeroe Islands,179,2,0,0,91,88,1,3663,0,2020-04-03,,
104,Montenegro,174,30,2,0,1,171,4,277,3,2020-04-03,,
105,Sri Lanka,159,8,4,0,24,131,5,7,2,2020-04-03,,
106,Georgia,155,21,0,0,28,127,6,39,0,2020-04-03,,
107,Venezuela,153,7,7,2,52,94,6,5,2,2020-04-03,,
108,DRC,148,14,16,3,3,129,0,2,2,2020-04-03,,
109,Martinique,143,5,3,0,27,113,18,381,8,2020-04-03,,
110,Brunei,134,1,1,0,65,68,3,306,2,2020-04-03,,
111,Bolivia,132,9,9,1,1,122,3,11,8,2020-04-03,,
112,Guadeloupe,130,2,7,1,24,99,14,325,17,2020-04-03,,
113,Kyrgyzstan,130,14,1,1,6,123,5,20,2,2020-04-03,,
114,Mayotte,128,12,2,1,10,116,3,469,7,2020-04-03,,
115,Kenya,122,12,4,1,4,114,2,2,7,2020-04-03,,
116,Niger,120,22,5,0,0,115,0,5,2,2020-04-03,,
117,Isle of Man,114,19,1,0,0,113,0,1341,12,2020-04-03,,
118,Cambodia,114,4,0,0,35,79,1,7,0,2020-04-03,,
119,Trinidad and Tobago,98,4,6,1,1,91,0,70,4,2020-04-03,,
120,Gibraltar,95,7,0,0,46,49,0,2820,0,2020-04-03,,
121,Paraguay,92,15,3,0,6,83,2,13,4,2020-04-03,,
122,Rwanda,89,5,0,0,0,89,0,7,0,2020-04-03,,
123,Liechtenstein,75,0,0,0,0,75,0,1967,0,2020-04-03,,
124,Guinea,73,21,0,0,2,71,0,6,0,2020-04-03,,
125,Madagascar,70,11,0,0,0,70,6,3,0,2020-04-03,,
126,Monaco,64,4,1,0,3,60,2,1631,25,2020-04-03,,
127,Aruba,62,2,0,0,1,61,0,581,0,2020-04-03,,
128,Bangladesh,61,5,6,0,26,29,1,4,4,2020-04-03,,
129,French Guiana,57,6,0,0,22,35,1,191,0,2020-04-03,,
130,Jamaica,53,6,3,0,7,43,0,18,1,2020-04-03,,
131,Barbados,51,5,0,0,0,51,0,177,0,2020-04-03,,
132,Guatemala,50,3,1,0,12,37,1,3,6,2020-04-03,,
133,Djibouti,49,9,0,0,8,41,0,50,0,2020-04-03,,
134,Uganda,48,3,0,0,0,48,0,1,0,2020-04-03,,
135,El Salvador,46,5,3,1,0,43,4,7,5,2020-04-03,,
136,Macao,42,1,0,0,10,32,0,65,0,2020-04-03,,
137,Togo,40,1,3,1,17,20,0,5,4,2020-04-03,,
138,Mali,39,3,3,0,0,36,0,2,1,2020-04-03,,
139,Zambia,39,0,1,0,2,36,0,2,5,2020-04-03,,
140,French Polynesia,39,2,0,0,0,39,1,139,0,2020-04-03,,
141,Bermuda,35,0,0,0,14,21,0,562,0,2020-04-03,,
142,Ethiopia,35,6,0,0,3,32,2,3,0,2020-04-03,,
143,Cayman Islands,29,1,1,0,1,27,0,441,15,2020-04-03,,
144,Bahamas,24,0,3,2,0,21,1,61,8,2020-04-03,,
145,Guyana,23,4,4,0,0,19,0,29,5,2020-04-03,,
146,Sint Maarten,23,5,4,3,6,13,0,536,93,2020-04-03,,
147,Congo,22,0,2,0,2,18,0,4,4,2020-04-03,,
148,Saint Martin,22,0,1,0,2,19,0,569,26,2020-04-03,,
149,Eritrea,22,0,0,0,0,22,0,6,0,2020-04-03,,
150,Gabon,21,0,1,0,1,19,0,9,4,2020-04-03,,
151,Myanmar,20,0,1,0,0,19,0,4,2,2020-04-03,,
152,Tanzania,20,0,1,0,3,16,0,3,2,2020-04-03,,
153,Maldives,19,0,0,0,13,6,0,35,0,2020-04-03,,
154,Haiti,18,2,0,0,1,17,0,2,0,2020-04-03,,
155,New Caledonia,18,0,0,0,1,17,0,63,0,2020-04-03,,
156,Libya,17,6,1,0,0,16,0,2,1,2020-04-03,,
157,Syria,16,0,2,0,0,14,0,9,1,2020-04-03,,
158,Benin,16,3,0,0,2,14,0,1,0,2020-04-03,,
159,Equatorial Guinea,16,1,0,0,1,15,0,11,0,2020-04-03,,
160,Antigua and Barbuda,15,6,0,0,0,15,1,153,0,2020-04-03,,
161,Guinea-Bissau,15,6,0,0,0,15,0,8,0,2020-04-03,,
162,Dominica,14,2,0,0,0,14,0,194,0,2020-04-03,,
163,Mongolia,14,0,0,0,2,12,0,4,0,2020-04-03,,
164,Namibia,14,0,0,0,3,11,0,6,0,2020-04-03,,
165,Saint Lucia,13,0,0,0,1,12,0,71,0,2020-04-03,,
166,Grenada,12,2,0,0,0,12,2,107,0,2020-04-03,,
167,Curaçao,11,0,1,0,3,7,0,67,6,2020-04-03,,
168,Sudan,10,2,2,0,2,6,0,2,5,2020-04-03,,
169,Suriname,10,0,1,1,0,9,0,17,2,2020-04-03,,
170,Greenland,10,0,0,0,3,7,0,176,0,2020-04-03,,
171,Laos,10,0,0,0,0,10,0,1,0,2020-04-03,,
172,Mozambique,10,0,0,0,0,10,0,3,0,2020-04-03,,
173,Seychelles,10,0,0,0,0,10,0,102,0,2020-04-03,,
174,MS Zaandam,9,0,2,0,0,7,0,0,0,2020-04-03,,
175,Zimbabwe,9,0,1,0,0,8,0,6,7,2020-04-03,,
176,Saint Kitts and Nevis,9,0,0,0,0,9,0,169,0,2020-04-03,,
177,Eswatini,9,0,0,0,0,9,0,8,0,2020-04-03,,
178,Angola,8,0,2,0,1,5,0,2,6,2020-04-03,,
179,CAR,8,5,0,0,0,8,0,2,0,2020-04-03,,
180,Chad,8,0,0,0,0,8,0,5,0,2020-04-03,,
181,Fiji,7,0,0,0,0,7,0,8,0,2020-04-03,,
182,Vatican City,7,0,0,0,0,7,0,8739,0,2020-04-03,,
183,Liberia,7,1,0,0,0,7,0,1,0,2020-04-03,,
184,St. Vincent Grenadines,7,5,0,0,1,6,0,63,0,2020-04-03,,
185,Somalia,7,2,0,0,1,6,0,4,0,2020-04-03,,
186,Cabo Verde,6,0,1,0,0,5,0,11,2,2020-04-03,,
187,Mauritania,6,0,1,0,2,3,0,1,2,2020-04-03,,
188,Nepal,6,0,0,0,1,5,0,2,0,2020-04-03,,
189,Montserrat,6,1,0,0,0,6,0,1202,0,2020-04-03,,
190,St. Barth,6,0,0,0,1,5,0,607,0,2020-04-03,,
191,Nicaragua,5,0,1,0,0,4,0,8,2,2020-04-03,,
192,Bhutan,5,0,0,0,2,3,0,6,0,2020-04-03,,
193,Turks and Caicos,5,0,0,0,0,5,0,129,0,2020-04-03,,
194,Botswana,4,0,1,0,0,3,0,2,4,2020-04-03,,
195,Gambia,4,0,1,0,2,1,0,2,4,2020-04-03,,
196,Belize,4,1,0,0,0,4,0,10,0,2020-04-03,,
197,Anguilla,3,0,0,0,0,3,0,200,0,2020-04-03,,
198,British Virgin Islands,3,0,0,0,0,3,0,99,0,2020-04-03,,
199,Burundi,3,0,0,0,0,3,0,3,0,2020-04-03,,
200,Malawi,3,0,0,0,0,3,0,2,0,2020-04-03,,
201,Caribbean Netherlands,2,0,0,0,0,2,0,76,0,2020-04-03,,
202,Sierra Leone,2,0,0,0,0,2,0,3,0,2020-04-03,,
203,Falkland Islands,1,1,0,0,0,1,0,287,0,2020-04-03,,
204,Papua New Guinea,1,0,0,0,0,1,0,1,0,2020-04-03,,
205,Timor-Leste,1,0,0,0,0,1,0,8,0,2020-04-03,,
206,China,81620,31,3322,4,76571,1727,379,57,2,2020-04-03,,
