index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
127,Mali,2573,6,125,0,1969,479,0,127,6,27007,1330,2020-08-10
128,Suriname,2489,98,30,1,1674,785,13,4239,51,3816,6499,2020-08-10
129,South Sudan,2470,0,47,0,1175,1248,0,220,4,12044,1075,2020-08-10
130,Mozambique,2411,142,16,0,860,1535,0,77,5,68828,2196,2020-08-10
131,Lithuania,2265,13,81,0,1670,514,6,833,30,553388,203615,2020-08-10
132,Slovenia,2255,6,128,1,1960,167,3,1085,62,136787,65796,2020-08-10
133,Estonia,2158,6,63,0,1962,133,0,1627,47,126738,95534,2020-08-10
134,Rwanda,2152,12,7,0,1392,753,0,166,5,304500,23452,2020-08-10
135,Guinea-Bissau,2052,0,29,0,944,1079,5,1040,15,1500,760,2020-08-10
136,Iceland,1962,4,10,0,1838,114,1,5746,29,161478,472871,2020-08-10
137,Benin,1936,0,38,0,1600,298,1,159,3,93677,7707,2020-08-10
138,Sierra Leone,1917,1,69,1,1447,401,0,240,9,0,0,2020-08-10
139,Yemen,1832,28,518,3,915,399,0,61,17,120,4,2020-08-10
140,Tunisia,1717,20,51,0,1265,401,9,145,4,105356,8904,2020-08-10
141,Angola,1679,7,78,3,569,1032,20,51,2,64747,1964,2020-08-10
142,New Zealand,1569,0,22,0,1526,21,0,314,4,496606,99280,2020-08-10
143,Uruguay,1364,11,37,0,1146,181,4,393,11,133237,38341,2020-08-10
144,Uganda,1297,14,9,2,1137,151,0,28,2,299036,6518,2020-08-10
145,Latvia,1290,0,32,0,1070,188,0,685,17,214202,113709,2020-08-10
146,Jordan,1268,16,11,0,1187,70,3,124,1,652759,63908,2020-08-10
147,Syria,1255,67,52,0,364,839,0,72,3,0,0,2020-08-10
148,Cyprus,1252,10,19,0,870,363,5,1036,16,230068,190405,2020-08-10
149,Georgia,1250,25,17,0,1010,223,0,313,4,258525,64821,2020-08-10
150,Liberia,1240,3,79,0,725,436,0,245,16,0,0,2020-08-10
151,Gambia,1235,0,23,0,221,991,0,510,9,5183,2139,2020-08-10
152,Burkina Faso,1204,29,54,0,984,166,0,57,3,0,0,2020-08-10
153,Niger,1158,0,69,0,1062,27,0,48,3,9052,373,2020-08-10
