index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
43,Mexico,1215,121,29,1,35,1151,1,9,2,2020-04-01,,
44,Panama,1181,0,30,0,9,1142,50,274,7,2020-04-01,,
45,Argentina,1133,79,31,4,248,854,0,25,7,2020-04-01,,
46,Colombia,1065,159,17,1,39,1009,47,21,3,2020-04-01,,
47,Serbia,1060,160,28,5,42,990,62,121,3,2020-04-01,,
48,Singapore,1000,74,3,0,245,752,24,171,5,2020-04-01,,
49,Croatia,963,96,6,0,73,884,34,235,1,2020-04-01,,
50,Algeria,847,131,58,14,61,728,0,19,1,2020-04-01,,
51,Slovenia,841,39,15,0,10,816,31,405,7,2020-04-01,,
52,Qatar,835,54,2,0,71,762,37,290,7,2020-04-01,,
53,UAE,814,150,8,2,61,745,2,82,8,2020-04-01,,
54,Ukraine,794,149,20,3,13,761,0,18,5,2020-04-01,,
55,Egypt,779,69,52,6,179,548,0,8,5,2020-04-01,,
56,Estonia,779,34,5,1,33,741,15,587,4,2020-04-01,,
57,Hong Kong,765,50,4,0,147,614,5,102,5,2020-04-01,,
58,Iraq,728,34,52,2,182,494,0,18,1,2020-04-01,,
59,Diamond Princess,712,0,11,0,603,98,15,0,0,2020-04-01,,
60,New Zealand,708,61,1,0,83,624,2,147,2,2020-04-01,,
61,Morocco,654,37,39,3,29,586,1,18,1,2020-04-01,,
62,Lithuania,581,44,8,0,7,566,11,213,3,2020-04-01,,
63,Armenia,571,39,4,1,31,536,30,193,1,2020-04-01,,
64,Bahrain,569,2,4,0,337,228,3,334,2,2020-04-01,,
65,Hungary,525,33,20,4,40,465,17,54,2,2020-04-01,,
66,Lebanon,479,16,14,2,43,422,5,70,2,2020-04-01,,
67,Bosnia and Herzegovina,459,39,13,0,19,427,1,140,4,2020-04-01,,
68,Latvia,446,48,0,0,1,445,3,236,0,2020-04-01,,
69,Tunisia,423,29,12,2,5,406,10,36,1,2020-04-01,,
70,Moldova,423,70,5,1,23,395,44,105,1,2020-04-01,,
71,Bulgaria,422,23,10,2,20,392,18,61,1,2020-04-01,,
72,Slovakia,400,37,1,1,3,396,1,73,2,2020-04-01,,
73,Andorra,390,14,14,2,10,366,12,5048,181,2020-04-01,,
74,Kazakhstan,380,37,3,1,26,351,6,20,2,2020-04-01,,
75,Costa Rica,375,28,2,0,4,369,9,74,4,2020-04-01,,
76,Azerbaijan,359,61,5,0,26,328,7,35,5,2020-04-01,,
77,North Macedonia,354,25,11,2,17,326,4,170,5,2020-04-01,,
78,Uruguay,338,0,2,1,41,295,12,97,6,2020-04-01,,
79,Taiwan,329,7,5,0,45,279,0,14,2,2020-04-01,,
80,Cyprus,320,58,9,1,28,283,11,265,7,2020-04-01,,
81,Kuwait,317,28,0,0,80,237,14,74,0,2020-04-01,,
82,Burkina Faso,282,21,16,2,46,220,0,13,8,2020-04-01,,
83,Réunion,281,34,0,0,40,241,3,314,0,2020-04-01,,
84,Jordan,278,4,5,0,36,237,5,27,5,2020-04-01,,
85,Albania,259,16,15,0,67,177,7,90,5,2020-04-01,,
86,Afghanistan,237,63,4,0,5,228,0,6,1,2020-04-01,,
87,San Marino,236,0,26,0,13,197,16,6955,766,2020-04-01,,
88,Cameroon,233,40,6,0,10,217,0,9,2,2020-04-01,,
89,Vietnam,218,6,0,0,63,155,3,2,0,2020-04-01,,
90,Cuba,212,26,6,0,12,194,3,19,5,2020-04-01,,
91,Oman,210,18,1,0,34,175,3,41,2,2020-04-01,,
92,Ghana,195,34,5,0,31,159,1,6,2,2020-04-01,,
93,Ivory Coast,190,11,1,0,9,180,0,7,4,2020-04-01,,
94,Senegal,190,15,1,1,45,144,0,11,6,2020-04-01,,
95,Malta,188,19,0,0,2,186,2,426,0,2020-04-01,,
96,Uzbekistan,181,9,2,0,12,167,8,5,6,2020-04-01,,
97,Nigeria,174,39,2,0,9,163,0,8,1,2020-04-01,,
98,Faeroe Islands,173,4,0,0,75,98,1,3541,0,2020-04-01,,
99,Honduras,172,31,10,3,3,159,4,17,1,2020-04-01,,
100,Channel Islands,172,31,3,0,0,169,0,989,17,2020-04-01,,
101,Belarus,163,11,2,1,53,108,2,17,2,2020-04-01,,
102,Mauritius,161,18,6,1,0,155,1,127,5,2020-04-01,,
103,Sri Lanka,146,3,3,1,21,122,5,7,1,2020-04-01,,
104,Venezuela,144,9,3,0,43,98,6,5,1,2020-04-01,,
105,Martinique,135,7,3,0,27,105,16,360,8,2020-04-01,,
106,Palestine,134,15,1,0,18,115,0,26,2,2020-04-01,,
107,Brunei,131,2,1,0,52,78,3,299,2,2020-04-01,,
108,Guadeloupe,125,11,6,2,24,95,14,312,15,2020-04-01,,
109,Montenegro,123,14,2,0,0,121,4,196,3,2020-04-01,,
110,Georgia,117,7,0,0,23,94,6,29,0,2020-04-01,,
111,Bolivia,115,8,7,1,1,107,3,10,6,2020-04-01,,
112,Kyrgyzstan,111,4,0,0,3,108,3,17,0,2020-04-01,,
113,DRC,109,11,9,1,3,97,0,1,1,2020-04-01,,
114,Cambodia,109,0,0,0,25,84,1,7,0,2020-04-01,,
115,Mayotte,101,7,1,0,10,90,3,370,4,2020-04-01,,
116,Trinidad and Tobago,90,3,5,2,1,84,0,64,4,2020-04-01,,
117,Rwanda,82,7,0,0,0,82,0,6,0,2020-04-01,,
118,Kenya,81,22,1,0,3,77,2,2,2,2020-04-01,,
119,Gibraltar,81,12,0,0,34,47,0,2404,0,2020-04-01,,
120,Niger,74,40,5,2,0,69,0,3,2,2020-04-01,,
121,Liechtenstein,72,4,0,0,0,72,0,1888,0,2020-04-01,,
122,Paraguay,69,4,3,0,1,65,4,10,4,2020-04-01,,
123,Isle of Man,68,8,1,1,0,67,0,800,12,2020-04-01,,
124,Madagascar,57,0,0,0,0,57,6,2,0,2020-04-01,,
125,Monaco,55,3,1,0,2,52,2,1402,25,2020-04-01,,
126,Aruba,55,0,0,0,1,54,0,515,0,2020-04-01,,
127,Bangladesh,54,3,6,1,25,23,1,3,4,2020-04-01,,
128,French Guiana,51,0,0,0,15,36,0,171,0,2020-04-01,,
129,Barbados,45,11,0,0,0,45,0,157,0,2020-04-01,,
130,Jamaica,44,6,3,1,2,39,0,15,1,2020-04-01,,
131,Uganda,44,0,0,0,0,44,0,10,0,2020-04-01,,
132,Macao,41,0,0,0,10,31,0,63,0,2020-04-01,,
133,Guatemala,39,1,1,0,12,26,1,2,6,2020-04-01,,
134,French Polynesia,37,0,0,0,0,37,1,132,0,2020-04-01,,
135,Togo,36,2,2,1,10,24,0,4,2,2020-04-01,,
136,Zambia,36,0,0,0,0,36,0,2,0,2020-04-01,,
137,Djibouti,33,3,0,0,0,33,0,33,0,2020-04-01,,
138,El Salvador,32,0,2,1,0,30,4,5,3,2020-04-01,,
139,Bermuda,32,0,0,0,10,22,0,514,0,2020-04-01,,
140,Mali,31,3,3,1,0,28,0,2,1,2020-04-01,,
141,Guinea,30,8,0,0,0,30,0,2,0,2020-04-01,,
142,Ethiopia,29,3,0,0,2,27,2,3,0,2020-04-01,,
143,Congo,22,3,2,2,0,20,0,4,4,2020-04-01,,
144,Cayman Islands,22,8,1,0,0,21,0,335,15,2020-04-01,,
145,Bahamas,21,7,1,1,1,19,0,53,3,2020-04-01,,
146,Tanzania,20,1,1,0,1,18,0,3,2,2020-04-01,,
147,Guyana,19,7,3,1,0,16,0,24,4,2020-04-01,,
148,Maldives,19,1,0,0,13,6,0,35,0,2020-04-01,,
149,Gabon,18,2,1,0,0,17,0,8,4,2020-04-01,,
150,Myanmar,16,1,1,0,0,15,0,3,2,2020-04-01,,
151,Sint Maarten,16,10,1,1,6,9,0,373,23,2020-04-01,,
152,Haiti,16,1,0,0,1,15,0,1,0,2020-04-01,,
153,New Caledonia,16,0,0,0,1,15,0,56,0,2020-04-01,,
154,Saint Martin,15,0,1,0,2,12,0,388,26,2020-04-01,,
155,Equatorial Guinea,15,0,0,0,1,14,0,11,0,2020-04-01,,
156,Eritrea,15,0,0,0,0,15,0,4,0,2020-04-01,,
157,Mongolia,14,2,0,0,2,12,0,4,0,2020-04-01,,
158,Namibia,14,3,0,0,2,12,0,6,0,2020-04-01,,
159,Benin,13,4,0,0,1,12,0,1,0,2020-04-01,,
160,Saint Lucia,13,0,0,0,1,12,0,71,0,2020-04-01,,
161,Dominica,12,0,0,0,0,12,0,167,0,2020-04-01,,
162,Curaçao,11,0,1,0,3,7,0,67,6,2020-04-01,,
163,Syria,10,0,2,0,0,8,0,6,1,2020-04-01,,
164,Greenland,10,0,0,0,2,8,0,176,0,2020-04-01,,
165,Laos,10,1,0,0,0,10,0,1,0,2020-04-01,,
166,Libya,10,0,0,0,0,10,0,1,0,2020-04-01,,
167,Mozambique,10,2,0,0,0,10,0,3,0,2020-04-01,,
168,Seychelles,10,0,0,0,0,10,0,102,0,2020-04-01,,
169,Suriname,10,1,0,0,0,10,0,17,0,2020-04-01,,
170,MS Zaandam,9,7,2,2,0,7,0,0,0,2020-04-01,,
171,Grenada,9,0,0,0,0,9,0,80,0,2020-04-01,,
172,Guinea-Bissau,9,1,0,0,0,9,0,5,0,2020-04-01,,
173,Eswatini,9,0,0,0,0,9,0,8,0,2020-04-01,,
174,Angola,8,1,2,0,1,5,0,2,6,2020-04-01,,
175,Zimbabwe,8,0,1,0,0,7,0,5,7,2020-04-01,,
176,Saint Kitts and Nevis,8,0,0,0,0,8,0,150,0,2020-04-01,,
177,Sudan,7,0,2,0,2,3,0,2,5,2020-04-01,,
178,Antigua and Barbuda,7,0,0,0,0,7,0,71,0,2020-04-01,,
179,Chad,7,0,0,0,0,7,0,4,0,2020-04-01,,
180,Cabo Verde,6,0,1,0,0,5,0,11,2,2020-04-01,,
181,Mauritania,6,0,1,0,2,3,0,1,2,2020-04-01,,
182,Vatican City,6,0,0,0,0,6,0,7491,0,2020-04-01,,
183,Liberia,6,3,0,0,0,6,0,1,0,2020-04-01,,
184,St. Barth,6,0,0,0,1,5,0,607,0,2020-04-01,,
185,Turks and Caicos,6,1,0,0,0,6,0,155,0,2020-04-01,,
186,Nicaragua,5,0,1,0,0,4,0,8,2,2020-04-01,,
187,Nepal,5,0,0,0,1,4,0,2,0,2020-04-01,,
188,Fiji,5,0,0,0,0,5,0,6,0,2020-04-01,,
189,Montserrat,5,0,0,0,0,5,0,1002,0,2020-04-01,,
190,Somalia,5,0,0,0,1,4,0,3,0,2020-04-01,,
191,Botswana,4,0,1,0,0,3,0,2,4,2020-04-01,,
192,Gambia,4,0,1,0,2,1,0,2,4,2020-04-01,,
193,Bhutan,4,0,0,0,0,4,0,5,0,2020-04-01,,
194,Belize,3,0,0,0,0,3,0,8,0,2020-04-01,,
195,British Virgin Islands,3,0,0,0,0,3,0,99,0,2020-04-01,,
196,CAR,3,0,0,0,0,3,0,6,0,2020-04-01,,
197,Anguilla,2,0,0,0,0,2,0,133,0,2020-04-01,,
198,Burundi,2,0,0,0,0,2,0,2,0,2020-04-01,,
199,Caribbean Netherlands,2,2,0,0,0,2,0,76,0,2020-04-01,,
200,St. Vincent Grenadines,2,1,0,0,1,1,0,18,0,2020-04-01,,
201,Sierra Leone,2,1,0,0,0,2,0,3,0,2020-04-01,,
202,Papua New Guinea,1,0,0,0,0,1,0,1,0,2020-04-01,,
203,Timor-Leste,1,0,0,0,0,1,0,8,0,2020-04-01,,
204,China,81554,0,3312,0,76238,2004,466,57,2,2020-04-01,,
