index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
82,Burkina Faso,207,27,11,2,21,175,0,10,5,2020-03-28,,
83,Albania,197,11,10,2,31,156,3,68,3,2020-03-28,,
84,Réunion,183,38,0,0,1,182,0,204,0,2020-03-28,,
85,Azerbaijan,182,17,4,1,15,163,23,18,4,2020-03-28,,
86,Cyprus,179,17,5,0,15,159,3,148,4,2020-03-28,,
87,Vietnam,174,11,0,0,21,153,3,2,0,2020-03-28,,
88,Faeroe Islands,155,11,0,0,54,101,2,3172,0,2020-03-28,,
89,Oman,152,21,0,0,23,129,0,30,0,2020-03-28,,
90,Malta,149,10,0,0,2,147,1,337,0,2020-03-28,,
91,Ghana,141,4,5,1,2,134,1,5,2,2020-03-28,,
92,Senegal,130,11,0,0,18,112,0,8,0,2020-03-28,,
93,Brunei,120,5,1,1,25,94,1,274,2,2020-03-28,,
94,Cuba,119,39,3,1,4,112,2,11,3,2020-03-28,,
95,Venezuela,119,6,2,0,39,78,2,4,7,2020-03-28,,
96,Sri Lanka,113,7,1,1,9,103,5,5,5,2020-03-28,,
97,Afghanistan,110,0,4,0,2,104,0,3,1,2020-03-28,,
98,Uzbekistan,104,16,2,1,5,97,8,3,6,2020-03-28,,
99,Guadeloupe,102,29,2,1,17,83,4,255,5,2020-03-28,,
100,Mauritius,102,8,2,0,0,100,1,80,2,2020-03-28,,
101,Ivory Coast,101,0,0,0,3,98,0,4,0,2020-03-28,,
102,Cambodia,99,0,0,0,13,86,1,6,0,2020-03-28,,
103,Palestine,98,7,1,0,18,79,0,19,2,2020-03-28,,
104,Channel Islands,97,9,1,0,0,96,0,558,6,2020-03-28,,
105,Nigeria,97,27,1,0,3,93,0,5,0,2020-03-28,,
106,Honduras,95,27,1,0,3,91,4,10,1,2020-03-28,,
107,Belarus,94,0,0,0,32,62,2,10,0,2020-03-28,,
108,Martinique,93,0,1,0,0,92,12,248,3,2020-03-28,,
109,Cameroon,91,0,2,0,2,87,0,3,8,2020-03-28,,
110,Georgia,90,7,0,0,14,76,1,23,0,2020-03-28,,
111,Montenegro,84,2,1,0,0,83,1,134,2,2020-03-28,,
112,Trinidad and Tobago,76,10,3,1,1,72,0,54,2,2020-03-28,,
113,Bolivia,74,13,0,0,0,74,0,6,0,2020-03-28,,
114,DRC,65,14,6,3,2,57,0,7,7,2020-03-28,,
115,Mayotte,63,13,0,0,0,63,0,231,0,2020-03-28,,
116,Rwanda,60,6,0,0,0,60,0,5,0,2020-03-28,,
117,Kyrgyzstan,58,0,0,0,0,58,0,9,0,2020-03-28,,
118,Paraguay,56,4,3,0,1,52,1,8,4,2020-03-28,,
119,Gibraltar,56,1,0,0,14,42,0,1662,0,2020-03-28,,
120,Liechtenstein,56,0,0,0,0,56,0,1469,0,2020-03-28,,
121,Bangladesh,48,0,5,0,15,28,1,3,3,2020-03-28,,
122,Aruba,46,13,0,0,1,45,0,431,0,2020-03-28,,
123,Monaco,42,0,0,0,1,41,0,1070,0,2020-03-28,,
124,Kenya,38,7,1,0,1,36,2,7,2,2020-03-28,,
125,Guatemala,34,6,1,0,10,23,1,2,6,2020-03-28,,
126,Macao,34,0,0,0,10,24,0,52,0,2020-03-28,,
127,Isle of Man,32,3,0,0,0,32,0,376,0,2020-03-28,,
128,Jamaica,30,4,1,0,2,27,0,10,3,2020-03-28,,
129,French Polynesia,30,0,0,0,0,30,0,107,0,2020-03-28,,
130,Uganda,30,7,0,0,0,30,0,7,0,2020-03-28,,
131,French Guiana,28,0,0,0,6,22,0,94,0,2020-03-28,,
132,Zambia,28,6,0,0,0,28,0,2,0,2020-03-28,,
133,Barbados,26,0,0,0,0,26,0,90,0,2020-03-28,,
134,Madagascar,26,0,0,0,0,26,0,9,0,2020-03-28,,
135,Togo,25,0,1,0,1,23,0,3,1,2020-03-28,,
136,El Salvador,19,6,0,0,0,19,0,3,0,2020-03-28,,
137,Mali,18,7,0,0,0,18,0,9,0,2020-03-28,,
138,Bermuda,17,0,0,0,2,15,0,273,0,2020-03-28,,
139,Ethiopia,16,0,0,0,1,15,0,1,0,2020-03-28,,
140,Maldives,16,0,0,0,9,7,0,30,0,2020-03-28,,
141,New Caledonia,15,0,0,0,0,15,0,53,0,2020-03-28,,
142,Djibouti,14,2,0,0,0,14,0,14,0,2020-03-28,,
143,Tanzania,14,1,0,0,1,13,0,2,0,2020-03-28,,
144,Equatorial Guinea,12,0,0,0,0,12,0,9,0,2020-03-28,,
145,Mongolia,12,1,0,0,0,12,0,4,0,2020-03-28,,
146,Dominica,11,0,0,0,0,11,0,153,0,2020-03-28,,
147,Saint Martin,11,0,0,0,0,11,0,284,0,2020-03-28,,
148,Niger,10,0,1,0,0,9,0,4,4,2020-03-28,,
149,Bahamas,10,0,0,0,1,9,0,25,0,2020-03-28,,
150,Greenland,10,0,0,0,2,8,0,176,0,2020-03-28,,
151,Eswatini,9,0,0,0,0,9,0,8,0,2020-03-28,,
152,Cayman Islands,8,0,1,0,0,7,0,122,15,2020-03-28,,
153,Curaçao,8,0,1,0,2,5,0,49,6,2020-03-28,,
154,Guyana,8,3,1,0,0,7,0,10,1,2020-03-28,,
155,Guinea,8,0,0,0,0,8,0,6,0,2020-03-28,,
156,Haiti,8,0,0,0,0,8,0,7,0,2020-03-28,,
157,Laos,8,2,0,0,0,8,0,1,0,2020-03-28,,
158,Mozambique,8,1,0,0,0,8,0,3,0,2020-03-28,,
159,Myanmar,8,0,0,0,0,8,0,1,0,2020-03-28,,
160,Namibia,8,0,0,0,2,6,0,3,0,2020-03-28,,
161,Seychelles,8,1,0,0,0,8,0,81,0,2020-03-28,,
162,Suriname,8,0,0,0,0,8,0,14,0,2020-03-28,,
163,Gabon,7,0,1,0,0,6,0,3,4,2020-03-28,,
164,Zimbabwe,7,2,1,0,0,6,0,5,7,2020-03-28,,
165,Antigua and Barbuda,7,0,0,0,0,7,0,71,0,2020-03-28,,
166,Grenada,7,0,0,0,0,7,0,62,0,2020-03-28,,
167,Benin,6,0,0,0,0,6,0,5,0,2020-03-28,,
168,Eritrea,6,0,0,0,0,6,0,2,0,2020-03-28,,
169,Vatican City,6,2,0,0,0,6,0,7491,0,2020-03-28,,
170,Cabo Verde,5,0,1,0,0,4,0,9,2,2020-03-28,,
171,Sudan,5,2,1,0,0,4,0,1,2,2020-03-28,,
172,Nepal,5,1,0,0,1,4,0,2,0,2020-03-28,,
173,Angola,5,1,0,0,0,5,0,2,0,2020-03-28,,
174,Fiji,5,0,0,0,0,5,0,6,0,2020-03-28,,
175,Mauritania,5,2,0,0,0,5,0,1,0,2020-03-28,,
176,Montserrat,5,0,0,0,0,5,0,1002,0,2020-03-28,,
177,St. Barth,5,0,0,0,0,5,0,506,0,2020-03-28,,
178,Syria,5,0,0,0,0,5,0,3,0,2020-03-28,,
179,Nicaragua,4,0,1,0,0,3,0,6,2,2020-03-28,,
180,Congo,4,0,0,0,0,4,0,7,0,2020-03-28,,
181,Turks and Caicos,4,2,0,0,0,4,0,103,0,2020-03-28,,
182,Gambia,3,0,1,0,0,2,0,1,4,2020-03-28,,
183,Bhutan,3,0,0,0,0,3,0,4,0,2020-03-28,,
184,CAR,3,0,0,0,0,3,0,6,0,2020-03-28,,
185,Chad,3,0,0,0,0,3,0,2,0,2020-03-28,,
186,Liberia,3,0,0,0,0,3,0,6,0,2020-03-28,,
187,Libya,3,2,0,0,0,3,0,4,0,2020-03-28,,
188,Saint Lucia,3,0,0,0,1,2,0,16,0,2020-03-28,,
189,Sint Maarten,3,0,0,0,0,3,0,70,0,2020-03-28,,
190,Somalia,3,0,0,0,0,3,0,2,0,2020-03-28,,
191,MS Zaandam,2,0,0,0,0,2,0,0,0,2020-03-28,,
192,Anguilla,2,0,0,0,0,2,0,133,0,2020-03-28,,
193,Belize,2,0,0,0,0,2,0,5,0,2020-03-28,,
194,British Virgin Islands,2,0,0,0,0,2,0,66,0,2020-03-28,,
195,Guinea-Bissau,2,0,0,0,0,2,0,1,0,2020-03-28,,
196,Saint Kitts and Nevis,2,0,0,0,0,2,0,38,0,2020-03-28,,
197,Papua New Guinea,1,0,0,0,0,1,0,1,0,2020-03-28,,
198,St. Vincent Grenadines,1,0,0,0,1,0,0,9,0,2020-03-28,,
199,Timor-Leste,1,0,0,0,0,1,0,8,0,2020-03-28,,
200,China,81394,0,3295,0,74971,3128,886,57,2,2020-03-28,,
