index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
41,Egypt,15,12,0,0,14,1,0,2020-03-06,,,,
42,Finland,15,3,0,0,14,1,0,2020-03-06,,,,
43,Brazil,13,5,0,0,13,0,0,2020-03-06,,,,
44,Ecuador,13,0,0,0,13,0,1,2020-03-06,,,,
45,Portugal,13,4,0,0,13,0,0,2020-03-06,,,,
46,Russia,13,6,0,0,11,2,0,2020-03-06,,,,
47,Croatia,11,1,0,0,11,0,0,2020-03-06,,,,
48,Qatar,11,3,0,0,11,0,0,2020-03-06,,,,
49,Macao,10,0,0,0,1,9,0,2020-03-06,,,,
50,Estonia,10,5,0,0,10,0,0,2020-03-06,,,,
51,Georgia,9,0,0,0,9,0,1,2020-03-06,,,,
52,Romania,9,3,0,0,6,3,0,2020-03-06,,,,
53,Argentina,8,6,0,0,8,0,0,2020-03-06,,,,
54,Slovenia,8,2,0,0,8,0,0,2020-03-06,,,,
55,Azerbaijan,6,0,0,0,6,0,0,2020-03-06,,,,
56,Belarus,6,0,0,0,6,0,0,2020-03-06,,,,
57,Mexico,6,0,0,0,5,1,0,2020-03-06,,,,
58,Pakistan,6,1,0,0,5,1,0,2020-03-06,,,,
59,Philippines,5,2,1,0,2,2,1,2020-03-06,,,,
60,Saudi Arabia,5,0,0,0,4,1,0,2020-03-06,,,,
61,Chile,5,1,0,0,5,0,0,2020-03-06,,,,
62,Poland,5,4,0,0,5,0,0,2020-03-06,,,,
63,Indonesia,4,2,0,0,4,0,0,2020-03-06,,,,
64,New Zealand,4,0,0,0,4,0,0,2020-03-06,,,,
65,Senegal,4,0,0,0,4,0,0,2020-03-06,,,,
66,Hungary,4,0,0,0,4,0,0,2020-03-06,,,,
67,Luxembourg,3,1,0,0,3,0,0,2020-03-06,,,,
68,North Macedonia,3,2,0,0,3,0,0,2020-03-06,,,,
69,Bosnia and Herzegovina,3,1,0,0,3,0,0,2020-03-06,,,,
70,Dominican Republic,2,1,0,0,2,0,0,2020-03-06,,,,
71,Morocco,2,0,0,0,2,0,1,2020-03-06,,,,
72,Afghanistan,1,0,0,0,1,0,0,2020-03-06,,,,
73,Andorra,1,0,0,0,1,0,0,2020-03-06,,,,
74,Armenia,1,0,0,0,1,0,0,2020-03-06,,,,
75,Cambodia,1,0,0,0,0,1,0,2020-03-06,,,,
76,Jordan,1,0,0,0,1,0,0,2020-03-06,,,,
77,Latvia,1,0,0,0,0,1,0,2020-03-06,,,,
78,Lithuania,1,0,0,0,1,0,0,2020-03-06,,,,
79,Monaco,1,0,0,0,1,0,0,2020-03-06,,,,
80,Nepal,1,0,0,0,0,1,0,2020-03-06,,,,
81,Nigeria,1,0,0,0,1,0,0,2020-03-06,,,,
82,Sri Lanka,1,0,0,0,0,1,0,2020-03-06,,,,
83,Tunisia,1,0,0,0,1,0,0,2020-03-06,,,,
84,Ukraine,1,0,0,0,1,0,0,2020-03-06,,,,
85,Bhutan,1,1,0,0,1,0,0,2020-03-06,,,,
86,Cameroon,1,1,0,0,1,0,0,2020-03-06,,,,
87,Colombia,1,1,0,0,1,0,0,2020-03-06,,,,
88,Costa Rica,1,0,0,0,1,0,0,2020-03-06,,,,
89,Gibraltar,1,0,0,0,1,0,1,2020-03-06,,,,
90,Vatican City,1,1,0,0,1,0,0,2020-03-06,,,,
91,Liechtenstein,1,0,0,0,1,0,0,2020-03-06,,,,
92,Peru,1,1,0,0,1,0,0,2020-03-06,,,,
93,Serbia,1,1,0,0,1,0,0,2020-03-06,,,,
94,Slovakia,1,1,0,0,1,0,0,2020-03-06,,,,
95,South Africa,1,0,0,0,1,0,0,2020-03-06,,,,
96,Togo,1,1,0,0,1,0,0,2020-03-06,,,,
97,Total:,101914,3497,3466,79,42325,56123,6401,2020-03-06,,,,
