index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
74,Costa Rica,347,17,2,0,4,341,8,68,4,2020-03-31,,
75,Kazakhstan,343,41,2,1,24,317,6,18,1,2020-03-31,,
76,Uruguay,338,18,1,0,41,296,12,97,3,2020-03-31,,
77,North Macedonia,329,44,9,2,12,308,4,158,4,2020-03-31,,
78,Taiwan,322,16,5,0,39,278,0,14,2,2020-03-31,,
79,Azerbaijan,298,25,5,1,26,267,11,29,5,2020-03-31,,
80,Kuwait,289,23,0,0,73,216,13,68,0,2020-03-31,,
81,Jordan,274,6,5,0,30,239,5,27,5,2020-03-31,,
82,Cyprus,262,32,8,1,23,231,3,217,7,2020-03-31,,
83,Burkina Faso,261,15,14,2,32,215,0,12,7,2020-03-31,,
84,Réunion,247,23,0,0,1,246,4,276,0,2020-03-31,,
85,Albania,243,20,15,4,52,176,8,84,5,2020-03-31,,
86,San Marino,236,6,26,1,13,197,16,6955,766,2020-03-31,,
87,Vietnam,212,8,0,0,58,154,3,2,0,2020-03-31,,
88,Cameroon,193,54,6,0,5,182,0,7,2,2020-03-31,,
89,Oman,192,13,1,1,34,157,3,38,2,2020-03-31,,
90,Cuba,186,16,6,2,8,172,3,16,5,2020-03-31,,
91,Ivory Coast,179,11,1,0,7,171,0,7,4,2020-03-31,,
92,Senegal,175,13,0,0,40,135,0,10,0,2020-03-31,,
93,Afghanistan,174,4,4,0,5,165,0,4,1,2020-03-31,,
94,Uzbekistan,172,23,2,0,7,163,8,5,6,2020-03-31,,
95,Faeroe Islands,169,1,0,0,74,95,3,3459,0,2020-03-31,,
96,Malta,169,13,0,0,2,167,2,383,0,2020-03-31,,
97,Ghana,161,9,5,0,31,125,1,5,2,2020-03-31,,
98,Belarus,152,0,1,1,47,104,2,16,1,2020-03-31,,
99,Mauritius,143,15,5,2,0,138,1,112,4,2020-03-31,,
100,Sri Lanka,143,21,2,0,17,124,5,7,9,2020-03-31,,
101,Honduras,141,2,7,0,3,131,4,14,7,2020-03-31,,
102,Channel Islands,141,0,3,1,0,138,0,811,17,2020-03-31,,
103,Venezuela,135,0,3,0,39,93,6,5,1,2020-03-31,,
104,Nigeria,135,4,2,0,8,125,0,7,1,2020-03-31,,
105,Brunei,129,2,1,0,45,83,3,295,2,2020-03-31,,
106,Martinique,128,35,3,2,27,98,15,341,8,2020-03-31,,
107,Palestine,119,2,1,0,18,100,0,23,2,2020-03-31,,
108,Guadeloupe,114,8,4,0,22,88,14,285,10,2020-03-31,,
109,Georgia,110,7,0,0,21,89,6,28,0,2020-03-31,,
110,Montenegro,109,18,2,1,0,107,1,174,3,2020-03-31,,
111,Cambodia,109,2,0,0,23,86,1,7,0,2020-03-31,,
112,Bolivia,107,10,6,2,0,101,3,9,5,2020-03-31,,
113,Kyrgyzstan,107,13,0,0,3,104,0,16,0,2020-03-31,,
114,DRC,98,17,8,0,2,88,0,1,9,2020-03-31,,
115,Mayotte,94,12,1,1,10,83,3,345,4,2020-03-31,,
116,Trinidad and Tobago,87,4,3,0,1,83,0,62,2,2020-03-31,,
117,Rwanda,75,5,0,0,0,75,0,6,0,2020-03-31,,
118,Gibraltar,69,0,0,0,34,35,0,2048,0,2020-03-31,,
119,Liechtenstein,68,6,0,0,0,68,0,1783,0,2020-03-31,,
120,Paraguay,65,1,3,0,1,61,3,9,4,2020-03-31,,
121,Isle of Man,60,11,0,0,0,60,0,706,0,2020-03-31,,
122,Kenya,59,9,1,0,1,57,2,1,2,2020-03-31,,
123,Madagascar,57,14,0,0,0,57,6,2,0,2020-03-31,,
124,Aruba,55,5,0,0,1,54,0,515,0,2020-03-31,,
125,Monaco,52,3,1,0,2,49,0,1325,25,2020-03-31,,
126,Bangladesh,51,2,5,0,25,21,1,3,3,2020-03-31,,
127,French Guiana,51,8,0,0,15,36,0,171,0,2020-03-31,,
128,Uganda,44,11,0,0,0,44,0,10,0,2020-03-31,,
129,Macao,41,3,0,0,10,31,0,63,0,2020-03-31,,
130,Jamaica,38,2,2,1,2,34,0,13,7,2020-03-31,,
131,Guatemala,38,2,1,0,12,25,1,2,6,2020-03-31,,
132,French Polynesia,36,0,0,0,0,36,1,128,0,2020-03-31,,
133,Zambia,36,1,0,0,0,36,0,2,0,2020-03-31,,
134,Togo,34,4,1,0,10,23,0,4,1,2020-03-31,,
135,Barbados,34,1,0,0,0,34,0,118,0,2020-03-31,,
136,El Salvador,32,2,1,1,0,31,5,5,2,2020-03-31,,
137,Bermuda,32,5,0,0,10,22,0,514,0,2020-03-31,,
138,Djibouti,30,12,0,0,0,30,0,30,0,2020-03-31,,
139,Mali,28,3,2,0,0,26,0,1,10,2020-03-31,,
140,Niger,27,0,3,0,0,24,0,1,1,2020-03-31,,
141,Ethiopia,26,3,0,0,2,24,2,2,0,2020-03-31,,
142,Guinea,22,0,0,0,0,22,0,2,0,2020-03-31,,
143,Tanzania,19,0,1,1,1,17,0,3,2,2020-03-31,,
144,Congo,19,0,0,0,0,19,0,3,0,2020-03-31,,
145,Maldives,18,1,0,0,13,5,0,33,0,2020-03-31,,
146,Gabon,16,9,1,0,0,15,0,7,4,2020-03-31,,
147,New Caledonia,16,1,0,0,0,16,0,56,0,2020-03-31,,
148,Myanmar,15,1,1,1,0,14,0,3,2,2020-03-31,,
149,Saint Martin,15,0,1,0,2,12,0,388,26,2020-03-31,,
150,Equatorial Guinea,15,3,0,0,1,14,0,11,0,2020-03-31,,
151,Eritrea,15,0,0,0,0,15,0,4,0,2020-03-31,,
152,Haiti,15,0,0,0,1,14,0,1,0,2020-03-31,,
153,Cayman Islands,14,2,1,0,0,13,0,213,15,2020-03-31,,
154,Bahamas,14,0,0,0,1,13,0,36,0,2020-03-31,,
155,Saint Lucia,13,4,0,0,1,12,0,71,0,2020-03-31,,
156,Guyana,12,4,2,1,0,10,0,15,3,2020-03-31,,
157,Dominica,12,0,0,0,0,12,0,167,0,2020-03-31,,
158,Mongolia,12,0,0,0,2,10,0,4,0,2020-03-31,,
159,Curaçao,11,0,1,0,2,8,0,67,6,2020-03-31,,
160,Namibia,11,0,0,0,2,9,0,4,0,2020-03-31,,
161,Syria,10,0,2,0,0,8,0,6,1,2020-03-31,,
162,Greenland,10,0,0,0,2,8,0,176,0,2020-03-31,,
163,Libya,10,2,0,0,1,9,0,1,0,2020-03-31,,
164,Seychelles,10,2,0,0,0,10,0,102,0,2020-03-31,,
165,Benin,9,3,0,0,1,8,0,7,0,2020-03-31,,
166,Grenada,9,0,0,0,0,9,0,80,0,2020-03-31,,
167,Laos,9,1,0,0,0,9,0,1,0,2020-03-31,,
168,Suriname,9,1,0,0,0,9,0,15,0,2020-03-31,,
169,Eswatini,9,0,0,0,0,9,0,8,0,2020-03-31,,
170,Zimbabwe,8,1,1,0,0,7,0,5,7,2020-03-31,,
171,Guinea-Bissau,8,0,0,0,0,8,0,4,0,2020-03-31,,
172,Mozambique,8,0,0,0,0,8,0,3,0,2020-03-31,,
173,Saint Kitts and Nevis,8,1,0,0,0,8,0,150,0,2020-03-31,,
174,Angola,7,0,2,0,1,4,0,2,6,2020-03-31,,
175,Sudan,7,1,2,0,1,4,0,2,5,2020-03-31,,
176,Antigua and Barbuda,7,0,0,0,0,7,0,71,0,2020-03-31,,
177,Chad,7,2,0,0,0,7,0,4,0,2020-03-31,,
178,Cabo Verde,6,0,1,0,0,5,0,11,2,2020-03-31,,
179,Mauritania,6,0,1,0,2,3,0,1,2,2020-03-31,,
180,Vatican City,6,0,0,0,0,6,0,7491,0,2020-03-31,,
181,St. Barth,6,0,0,0,1,5,0,607,0,2020-03-31,,
182,Sint Maarten,6,0,0,0,0,6,0,140,0,2020-03-31,,
183,Nicaragua,5,1,1,0,0,4,0,8,2,2020-03-31,,
184,Nepal,5,0,0,0,1,4,0,2,0,2020-03-31,,
185,Fiji,5,0,0,0,0,5,0,6,0,2020-03-31,,
186,Montserrat,5,0,0,0,0,5,0,1002,0,2020-03-31,,
187,Somalia,5,2,0,0,1,4,0,3,0,2020-03-31,,
188,Turks and Caicos,5,0,0,0,0,5,0,129,0,2020-03-31,,
189,Botswana,4,1,1,1,0,3,0,2,4,2020-03-31,,
190,Gambia,4,0,1,0,0,3,0,2,4,2020-03-31,,
191,Bhutan,4,0,0,0,0,4,0,5,0,2020-03-31,,
192,Belize,3,0,0,0,0,3,0,8,0,2020-03-31,,
193,British Virgin Islands,3,1,0,0,0,3,0,99,0,2020-03-31,,
194,CAR,3,0,0,0,0,3,0,6,0,2020-03-31,,
195,Liberia,3,0,0,0,0,3,0,6,0,2020-03-31,,
196,MS Zaandam,2,0,0,0,0,2,0,0,0,2020-03-31,,
197,Anguilla,2,0,0,0,0,2,0,133,0,2020-03-31,,
198,Burundi,2,2,0,0,0,2,0,2,0,2020-03-31,,
199,Papua New Guinea,1,0,0,0,0,1,0,1,0,2020-03-31,,
200,St. Vincent Grenadines,1,0,0,0,1,0,0,9,0,2020-03-31,,
201,Sierra Leone,1,1,0,0,0,1,0,1,0,2020-03-31,,
202,Timor-Leste,1,0,0,0,0,1,0,8,0,2020-03-31,,
203,China,81518,0,3305,0,76052,2161,528,57,2,2020-03-31,,
